,0,1,2
999424,22.0,0.0,0.0
143361,17.0,4.0,15.0
1196034,12.0,0.0,0.0
999425,18.0,0.0,1.0
1581061,11.0,0.0,12.0
1581064,8.0,0.0,0.0
237576,2.0,1.0,0.0
1581071,1.0,1.0,9.0
387090,69.0,23.0,0.0
1581075,9.0,0.0,7.0
1581076,30.0,0.0,0.0
1581074,4.0,1.0,14.0
1701910,21.0,0.0,0.0
143393,28.0,0.0,18.0
1849383,4.0,0.0,0.0
131111,15.0,5.0,0.0
1095727,13.0,0.0,0.0
84026,7.0,1.0,0.0
84030,1.0,2.0,0.0
1261640,1.0,0.0,0.0
1099853,25.0,4.0,0.0
69710,17.0,0.0,0.0
180311,1.0,0.0,0.0
106588,1.0,2.0,0.0
1515618,6.0,4.0,0.0
1816676,1.0,1.0,0.0
1884263,25.0,4.0,12.0
1859695,2.0,0.0,3.0
596085,29.0,7.0,0.0
1816694,17.0,5.0,0.0
1581179,18.0,5.0,0.0
43131,1.0,0.0,0.0
329854,79.0,23.0,0.0
471189,1.0,0.0,0.0
158,3.0,0.0,0.0
1540257,14.0,0.0,0.0
1759399,13.0,5.0,0.0
84135,2.0,0.0,0.0
53418,1.0,0.0,0.0
53419,5.0,2.0,10.0
450749,52.0,0.0,35.0
69823,37.0,6.0,17.0
53442,1.0,0.0,0.0
1161412,25.0,0.0,41.0
1671366,8.0,0.0,0.0
199,32.0,0.0,18.0
1161416,24.0,0.0,18.0
203,2.0,3.0,7.0
204,40.0,5.0,20.0
82135,5.0,0.0,0.0
626929,57.0,19.0,0.0
626930,39.0,19.0,0.0
626931,44.0,17.0,0.0
1433844,20.0,0.0,2.0
301301,81.0,31.0,0.0
301302,86.0,35.0,6.0
626933,16.0,2.0,0.0
1609975,3.0,0.0,0.0
67825,1.0,0.0,0.0
626940,36.0,12.0,0.0
29359,1.0,0.0,0.0
33030,10.0,5.0,0.0
33033,61.0,27.0,0.0
796937,17.0,4.0,11.0
338188,84.0,23.0,0.0
55565,24.0,0.0,2.0
33038,67.0,18.0,0.0
796942,31.0,10.0,24.0
712976,24.0,8.0,1.0
33039,3.0,1.0,0.0
264463,1.0,0.0,0.0
1702171,13.0,3.0,0.0
82203,3.0,0.0,2.0
712991,1.0,0.0,0.0
938289,2.0,0.0,1.0
1886516,1.0,0.0,0.0
1032505,68.0,21.0,22.0
1032506,17.0,0.0,0.0
239935,57.0,29.0,0.0
713030,14.0,0.0,0.0
1579341,12.0,5.0,0.0
1579342,14.0,6.0,0.0
1579343,64.0,0.0,29.0
665939,45.0,0.0,26.0
1579348,12.0,4.0,0.0
665940,2.0,1.0,0.0
76122,52.0,20.0,37.0
76123,22.0,7.0,4.0
665949,31.0,6.0,0.0
665950,3.0,1.0,0.0
360807,102.0,35.0,0.0
88431,98.0,31.0,0.0
1163670,33.0,17.0,0.0
1163671,11.0,4.0,0.0
407975,2.0,0.0,0.0
78257,13.0,0.0,0.0
936381,34.0,5.0,19.0
154046,87.0,31.0,0.0
418240,9.0,1.0,0.0
655809,11.0,3.0,0.0
168384,1.0,1.0,0.0
1450439,97.0,34.0,0.0
