,TCGA-A6-2671-01A,TCGA-A6-2674-01A,TCGA-A6-2676-01A,TCGA-A6-2677-01A,TCGA-A6-2677-01B,TCGA-A6-2678-01A,TCGA-A6-2679-01A,TCGA-A6-2680-01A,TCGA-A6-2681-01A,TCGA-A6-2682-01A,TCGA-A6-2683-01A,TCGA-A6-2684-01A,TCGA-A6-2684-01C,TCGA-A6-3807-01A,TCGA-A6-3808-01A,TCGA-A6-3809-01A,TCGA-A6-3809-01B,TCGA-A6-3810-01A,TCGA-A6-3810-01B,TCGA-A6-5656-01A,TCGA-A6-5656-01B,TCGA-A6-5659-01A,TCGA-A6-5659-01B,TCGA-A6-6141-01A,TCGA-A6-6650-01A,TCGA-A6-6650-01B,TCGA-A6-6780-01A,TCGA-A6-6780-01B,TCGA-A6-6781-01A,TCGA-A6-A565-01A,TCGA-A6-A566-01A,TCGA-A6-A567-01A,TCGA-A6-A56B-01A,TCGA-AA-3494-01A,TCGA-AA-3495-01A,TCGA-AA-3502-01A,TCGA-AA-3509-01A,TCGA-AA-3510-01A,TCGA-AA-3514-01A,TCGA-AA-3516-01A,TCGA-AA-3518-01A,TCGA-AA-3529-01A,TCGA-AA-3534-01A,TCGA-AA-3548-01A,TCGA-AA-3549-01A,TCGA-AA-3553-01A,TCGA-AA-3555-01A,TCGA-AA-3558-01A,TCGA-AA-3664-01A,TCGA-AA-3666-01A,TCGA-AA-3672-01A,TCGA-AA-3675-01A,TCGA-AA-3681-01A,TCGA-AA-3685-01A,TCGA-AA-3688-01A,TCGA-AA-3692-01A,TCGA-AA-3693-01A,TCGA-AA-3715-01A,TCGA-AA-3812-01A,TCGA-AA-3861-01A,TCGA-AA-3947-01A,TCGA-AA-3956-01A,TCGA-AA-3966-01A,TCGA-AA-3968-01A,TCGA-AA-3970-01A,TCGA-AA-3977-01A,TCGA-AA-3994-01A,TCGA-AA-A00N-01A,TCGA-AA-A00Q-01A,TCGA-AA-A00R-01A,TCGA-AA-A00U-01A,TCGA-AA-A00Z-01A,TCGA-AA-A010-01A,TCGA-AA-A01C-01A,TCGA-AA-A01D-01A,TCGA-AA-A01G-01A,TCGA-AA-A01I-01A,TCGA-AA-A01K-01A,TCGA-AA-A01P-01A,TCGA-AA-A01Q-01A,TCGA-AA-A01R-01A,TCGA-AA-A01S-01A,TCGA-AA-A01T-01A,TCGA-AA-A01V-01A,TCGA-AA-A01X-01A,TCGA-AA-A02K-01A,TCGA-AA-A02O-01A,TCGA-AA-A02R-01A,TCGA-AA-A02W-01A,TCGA-AA-A02Y-01A,TCGA-AA-A03F-01A,TCGA-AA-A03J-01A,TCGA-AA-A03J-11A,TCGA-AD-A5EJ-01A,TCGA-AD-A5EK-01A,TCGA-AY-4070-01A,TCGA-AY-4071-01A,TCGA-AY-A54L-01A,TCGA-AZ-4308-01A,TCGA-AZ-4313-01A,TCGA-AZ-4315-01A,TCGA-AZ-4614-01A,TCGA-AZ-4615-01A,TCGA-AZ-4681-01A,TCGA-AZ-4682-01B,TCGA-AZ-4684-01A,TCGA-AZ-6601-01A,TCGA-CA-5256-01A,TCGA-CA-6717-01A,TCGA-CA-6718-01A,TCGA-CK-4951-01A,TCGA-CM-4744-01A,TCGA-CM-4746-01A,TCGA-CM-4747-01A,TCGA-CM-4748-01A,TCGA-CM-4750-01A,TCGA-CM-4752-01A,TCGA-D5-6540-01A,TCGA-NH-A50T-01A,TCGA-NH-A50V-01A,TCGA-QG-A5YV-01A,TCGA-QG-A5YW-01A,TCGA-QG-A5YX-01A,TCGA-QG-A5Z1-01A,TCGA-QG-A5Z2-01A,TCGA-AF-2689-01A,TCGA-AF-2691-01A,TCGA-AF-2692-01A,TCGA-AF-3913-01A,TCGA-AG-3574-01A,TCGA-AG-3582-01A,TCGA-AG-3593-01A,TCGA-AG-3727-01A,TCGA-AG-3728-01A,TCGA-AG-3878-01A,TCGA-AG-3881-01A,TCGA-AG-3882-01A,TCGA-AG-3885-01A,TCGA-AG-3887-01A,TCGA-AG-3890-01A,TCGA-AG-3892-01A,TCGA-AG-3893-01A,TCGA-AG-3894-01A,TCGA-AG-3896-01A,TCGA-AG-3898-01A,TCGA-AG-3901-01A,TCGA-AG-3902-01A,TCGA-AG-3909-01A,TCGA-AG-3999-01A,TCGA-AG-4001-01A,TCGA-AG-4005-01A,TCGA-AG-4007-01A,TCGA-AG-4008-01A,TCGA-AG-4015-01A,TCGA-AG-A002-01A,TCGA-AG-A008-01A,TCGA-AG-A00C-01A,TCGA-AG-A00H-01A,TCGA-AG-A00Y-01A,TCGA-AG-A011-01A,TCGA-AG-A014-01A,TCGA-AG-A015-01A,TCGA-AG-A01L-01A,TCGA-AG-A01N-01A,TCGA-AG-A01W-01A,TCGA-AG-A01Y-01A,TCGA-AG-A020-01A,TCGA-AG-A032-01A,TCGA-EI-6917-01A,TCGA-F5-6814-01A,TCGA-IG-A3I8-01A,TCGA-IG-A3QL-01A,TCGA-IG-A3Y9-01A,TCGA-IG-A3YA-01A,TCGA-IG-A3YB-01A,TCGA-IG-A4P3-01A,TCGA-IG-A4QT-01A,TCGA-IG-A50L-01A,TCGA-IG-A51D-01A,TCGA-IG-A5B8-01A,TCGA-IG-A5S3-01A,TCGA-IG-A97I-01A,TCGA-JY-A93C-01A,TCGA-L5-A43C-01A,TCGA-L5-A43E-01A,TCGA-L5-A43H-01A,TCGA-L5-A43I-01A,TCGA-L5-A43J-01A,TCGA-L5-A43M-01A,TCGA-L5-A4OE-01A,TCGA-L5-A4OF-01A,TCGA-L5-A4OG-01A,TCGA-L5-A4OH-01A,TCGA-L5-A4OI-01A,TCGA-L5-A4OJ-01A,TCGA-L5-A4OM-01A,TCGA-L5-A4ON-01A,TCGA-L5-A4OP-01A,TCGA-L5-A4OR-01A,TCGA-L5-A4OS-01A,TCGA-L5-A4OT-01A,TCGA-L5-A891-01A,TCGA-L5-A8NE-01A,TCGA-L5-A8NN-01A,TCGA-L7-A56G-01A,TCGA-L7-A6VZ-01A,TCGA-LN-A49K-01A,TCGA-LN-A49L-01A,TCGA-LN-A49M-01A,TCGA-LN-A49N-01A,TCGA-LN-A49O-01A,TCGA-LN-A49P-01A,TCGA-LN-A49R-01A,TCGA-LN-A49S-01A,TCGA-LN-A49U-01A,TCGA-LN-A49V-01A,TCGA-LN-A49W-01A,TCGA-LN-A49X-01A,TCGA-LN-A49Y-01A,TCGA-LN-A4A1-01A,TCGA-LN-A4A2-01A,TCGA-LN-A4A3-01A,TCGA-LN-A4A4-01A,TCGA-LN-A4A6-01A,TCGA-LN-A4A8-01A,TCGA-LN-A4MR-01A,TCGA-LN-A5U5-01A,TCGA-LN-A8I1-01A,TCGA-LN-A9FQ-01A,TCGA-V5-A7RC-01B
72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009565,0,0,0,0,0,0,0,0,0,0,0,0,0.001658,0,0,0,0,0,0,0,0,0,0,0.001597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000989,0,0,4.27E-06
158,0,0,0,0,0,0,0,0,0,0,0,8.97E-06,0,0,0,3.14E-06,3.47E-05,0.000456,0,0,0,0,0,0,0,0,0.000195,0.000304,0,0,0,0,0,5.35E-05,0,0,0,4.51E-05,0,0,0,0,0,0,0,0,0,0,5.47E-05,0,0,0,0,0,0,0,0,7.35E-05,0,0.000314,2.06E-05,0,0,0,0,0,0,0,0,0,0,0,0.00027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.19E-05,0,0,0,0,0,0,0,0.000191,0,0,0,0,0,0,0,0,0,0,0,0,0.000153,0.012048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002981,0,0,0,0,0,0.039773,0.000959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.00E-05,0,0,0,0,0,0,0,0,0,0.004326,0,0,0.005682,0,0,0,0,0.005341,0,0,0.00036,0,0,0,0,0,0,0,0,0,0,0.014028,0,0.004525,0.004193
199,0,0,0,0.000333,0,0,0,2.24E-05,1.48E-05,0.000898,0,8.97E-06,0,0,0,0.00043,6.94E-05,0,0,0,0,0,0,0,0,0,0,0.000176,0,0,0.01499,0,0,0,0.000234,0,0,1.50E-05,0,0,0,0,0,0,0.00013,0,0.000475,0,2.27E-05,7.39E-05,0.021783,0.001389,0.000201,0,0,0,0,6.53E-05,0.002568,0,5.16E-05,0,0,0,0,0,2.31E-05,0,0,0.000235,0.008276,0.000523,3.28E-05,0,0,0,0,0,0,0,0,0,4.02E-06,0,0,0,0.000944,0,0,0,5.42E-05,0,0,0.00031,0,0,0,0,0,0.013661,0,0,0,0,0,0,0,0,0,0,0.032658,0,0,0,0,0,0,0.00054,0,0.000225,0,0,0,0,0.000139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005682,0.00046,0,0,0.018349,0.010224,0,0,0,0,0,0,0,0,0,0,0,0.084112,0.000127,0,0,0,0.007682,8.88E-05,0.000718,0.000475,0,0,0.000219,0.001597,0,0,0,0,0,0,0.003142,0,0.004899,0,0,0,0,0,0.008777,0.005629,0,0,0,0,0.00033,0,0.002262,8.88E-05
203,0,0,0.003329,0,0,0,0,0,5.24E-05,0.000161,0,5.38E-05,0,0,0,4.40E-05,5.20E-05,3.30E-05,0,0,0,0,0,0.002643,0,0,0.000782,0.000625,0,0,0.000129,7.23E-05,0,0.001231,0,0.00049,0,0.000391,0,0,0,0,0,0,0.003929,0,0.000301,0,0.049812,0,0.000146,0.016771,0.000903,7.81E-05,0,0,0,0.005698,0,0.002973,0,0,9.45E-05,0,0,3.98E-05,0,5.12E-05,0,0.005047,0,0,0.001261,0,0,0,0,0,0,5.22E-05,6.87E-05,0.000162,0.000608,0,0,0,0,0,0,0,0.004284,0,0,0.000504,0.000683,0.003617,0,2.85E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000287,0.013439,0.000185,7.36E-05,0,0,0,0.004328,0,0.000122,4.85E-05,0,0,0,0,0,0,0,0,0,3.18E-05,0,0,0.000315,0,0,0.000403,0.003366,0,0,0,0.001488,0,0,0,0,6.62E-06,0,0,0,0,0,0,0.011838,0,0,0.000157,0.016411,0,0.000955,0.005128,0,0,0,0,0,0,0.001901,0,0,0.00055,0,0,0,0,5.25E-05,0,0.017391,0,0.074538,0,0,0.020202,0,0,0,0,0,0,0,0,0,7.99E-05,0,0,0,0,4.84E-05,0.000359,0.000627,0.003925,0,0.000715,0.000532,0,0,0,0,0.001518,0,0,0.00354,0,0,0,0.018405,0,0.001946,0,0.000703,0.005769,0,0,0,0.007435,0,0,0.015601
204,0,0,0.00222,1.39E-05,0,8.21E-05,0,0,0.000134,0.000921,3.82E-06,0.000117,0,0,0,6.91E-05,3.47E-05,0,0,0,0,0,0,0.000661,0,0,0.001629,0.002179,0,0,0.000144,0.000145,0,0.000428,0,0.00098,0,0.00015,0,0,0,0,0,0,0.009391,0,0.000791,0,0.002912,0,0.000146,0.056802,0.009534,0.000546,0,0,0.002255,0.000669,0,0.006261,2.06E-05,0,0,0,0,0,0,5.12E-05,0,0.012949,0,0,0.006878,0,0,0,0,0,0,1.56E-06,2.86E-06,0,6.57E-05,0,0,0,0,0.00077,0,0,0.000374,0,0,0.000891,0.000847,0.010488,0,2.85E-05,0,0,0,0,0,0,0,0,7.95E-05,0,0,0,0,0,0.000431,0.000611,0,0,0,0.000405,0,0.016617,0,0.000735,0.000275,0,4.62E-05,0,0,0,0,0,0,0,0.000219,0,0,0,0,0,0.012485,0.005662,0,0,0,0.000937,0,0,0,0,0,0,0,0,0,0,0,0.034404,0,0,0.001884,0.040852,0,0.001911,0,0,0,0,0,0,0,3.98E-05,0,0,0,0,0,0,0,5.83E-05,0,0,0,0.002968,0,0,0.020202,0,0,0,0,0.015748,0,0,0,0.005711,8.56E-05,0,0,0,0,0,0.000539,0.000418,0,0,0.00045,0.001597,0,0,4.30E-05,0,0.007211,0,0.001257,0.00354,0,0,0,0,0,0.002594,0.001681,0.001527,0.003846,0,0,0,0.008241,0,0.002262,0.003186
210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108793,0,0,0,0.344828,0,0,0,0,0,0,0.000989,0,0.085714,0,0,0,0,0.89881,0,0,0,0,0.005711,0,0,0,0,0,0,0.000988,0,0,0,0,0,0,0,0.000239,0,0,0,0,0,0,0,0,0.208589,0,0,0.000373,0.000812,0,0,0,0,0,0,0,8.07E-06
212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021825,0,0,0,0,0.001038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006135,0,0,0,6.06E-05,0,0,0,0,0,0,0,0
285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.15E-06,0,0,0,0.002132,0.000213,0,0,0,0.059701,0,0,0,0,0,0,0.000247,0,0,0,0,0,0,0,0,0,0,0,0,0.001032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006452,0,0,0,1.14E-05,0,0,0,0,0,0,0.000171,0.001963,0,0,0.001597,0,0,4.30E-05,0.047619,0,0,0.005655,0,0,0,0,0,0.011673,0,0,0,0.304701,0,0,0,0,0,0.002262,0
339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00113,0.025974,0,0,0.00128,0,0,0.002452,0,0,0,0.001597,0,0,8.60E-05,0,0,0,0,0,0,0,0,0,0,0.003243,0,0,0.001923,0,0,0,0.00011,0,0.013575,0
